1) 04 Jul '24 04:43 : Diamondsoul is no longer in the Guild! (LVL: 85);Time as Member: 11 days;Officer Note: 829,36;
2) 04 Jul '24 09:43 : Whitelie (M) (Restoshammy) has Leveled to 83 (+1 level);
3) 04 Jul '24 09:43 : Moneylight (M) (Moneywood) has Leveled to 83 (+1 level);
4) 04 Jul '24 09:43 : Theddios's OFFICER Note: "1305,57" to "1515,86";
5) 04 Jul '24 09:43 : Sinshira's OFFICER Note: "1303,37" to "1513,48";
6) 04 Jul '24 09:43 : Luminoxity's OFFICER Note: "1034,49" to "1244,49";
7) 04 Jul '24 09:43 : Bearsérkr's OFFICER Note: "821,13" to "1031,13";
8) 04 Jul '24 09:43 : Warcrown's OFFICER Note: "1305,61" to "1515,92";
9) 04 Jul '24 09:43 : Throatcutt's OFFICER Note: "893,31" to "1103,38";
10) 04 Jul '24 09:43 : Restoshammy's OFFICER Note: "559,16" to "769,31";
11) 04 Jul '24 09:43 : Dîver's OFFICER Note: "1305,49" to "1515,58";
12) 04 Jul '24 09:43 : Moneywood's OFFICER Note: "559,33" to "769,51";
13) 03 Jul '24 19:04 : Theddios's OFFICER Note: "1230,57" to "1305,57";
14) 03 Jul '24 19:04 : Sinshira's OFFICER Note: "1228,37" to "1303,37";
15) 03 Jul '24 19:04 : Luminoxity's OFFICER Note: "959,49" to "1034,49";
16) 03 Jul '24 19:04 : Bearsérkr's OFFICER Note: "746,13" to "821,13";
17) 03 Jul '24 19:04 : Warcrown's OFFICER Note: "1230,61" to "1305,61";
18) 03 Jul '24 19:04 : Throatcutt's OFFICER Note: "818,31" to "893,31";
19) 03 Jul '24 19:04 : Restoshammy's OFFICER Note: "484,16" to "559,16";
20) 03 Jul '24 19:04 : Dîver's OFFICER Note: "1230,49" to "1305,49";
21) 03 Jul '24 19:04 : Moneywood's OFFICER Note: "484,33" to "559,33";
22) 03 Jul '24 19:04 : Diamondsoul's OFFICER Note: "754,36" to "829,36";
23) 03 Jul '24 19:02 : Chaosjones PROMOTED Restoshammy from Member to Raider;
24) 03 Jul '24 18:11 : Baraline's OFFICER Note: "878,35" to "746,29";
25) 03 Jul '24 18:11 : Saphyron's OFFICER Note: "814,9" to "691,7";
26) 03 Jul '24 18:11 : Kyrielight's OFFICER Note: "1384,63" to "1176,53";
